date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:30:03	36583/36583	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:50%20GMT	http://webdesign-finder.com/html/nafta/service-single.html	webdesign-finder.com/html/nafta/service-single.html	(from http://webdesign-finder.com/html/nafta/)
14:30:04	41694/41694	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:50%20GMT	http://webdesign-finder.com/html/nafta/service-single2.html	webdesign-finder.com/html/nafta/service-single2.html	(from http://webdesign-finder.com/html/nafta/)
14:30:04	38575/38575	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:49%20GMT	http://webdesign-finder.com/html/nafta/gallery-image.html	webdesign-finder.com/html/nafta/gallery-image.html	(from http://webdesign-finder.com/html/nafta/)
14:30:06	38613/38613	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:49%20GMT	http://webdesign-finder.com/html/nafta/gallery-image-2-cols.html	webdesign-finder.com/html/nafta/gallery-image-2-cols.html	(from http://webdesign-finder.com/html/nafta/)
14:30:07	38643/38643	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:49%20GMT	http://webdesign-finder.com/html/nafta/gallery-image-4-cols-fullwidth.html	webdesign-finder.com/html/nafta/gallery-image-4-cols-fullwidth.html	(from http://webdesign-finder.com/html/nafta/)
14:30:08	37024/37024	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:49%20GMT	http://webdesign-finder.com/html/nafta/gallery-title.html	webdesign-finder.com/html/nafta/gallery-title.html	(from http://webdesign-finder.com/html/nafta/)
14:30:09	37044/37044	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:49%20GMT	http://webdesign-finder.com/html/nafta/gallery-title-2-cols.html	webdesign-finder.com/html/nafta/gallery-title-2-cols.html	(from http://webdesign-finder.com/html/nafta/)
14:30:10	37095/37095	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:49%20GMT	http://webdesign-finder.com/html/nafta/gallery-title-4-cols-fullwidth.html	webdesign-finder.com/html/nafta/gallery-title-4-cols-fullwidth.html	(from http://webdesign-finder.com/html/nafta/)
14:30:10	36994/36994	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:49%20GMT	http://webdesign-finder.com/html/nafta/gallery-excerpt.html	webdesign-finder.com/html/nafta/gallery-excerpt.html	(from http://webdesign-finder.com/html/nafta/)
14:30:12	37014/37014	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:49%20GMT	http://webdesign-finder.com/html/nafta/gallery-excerpt-2-cols.html	webdesign-finder.com/html/nafta/gallery-excerpt-2-cols.html	(from http://webdesign-finder.com/html/nafta/)
14:30:14	37020/37020	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:49%20GMT	http://webdesign-finder.com/html/nafta/gallery-excerpt-4-cols-fullwidth.html	webdesign-finder.com/html/nafta/gallery-excerpt-4-cols-fullwidth.html	(from http://webdesign-finder.com/html/nafta/)
14:30:15	33148/33148	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:49%20GMT	http://webdesign-finder.com/html/nafta/gallery-single.html	webdesign-finder.com/html/nafta/gallery-single.html	(from http://webdesign-finder.com/html/nafta/)
14:30:15	36761/36761	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:49%20GMT	http://webdesign-finder.com/html/nafta/gallery-single2.html	webdesign-finder.com/html/nafta/gallery-single2.html	(from http://webdesign-finder.com/html/nafta/)
14:30:17	46142/46142	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:51%20GMT	http://webdesign-finder.com/html/nafta/team.html	webdesign-finder.com/html/nafta/team.html	(from http://webdesign-finder.com/html/nafta/)
14:30:18	42890/42890	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:51%20GMT	http://webdesign-finder.com/html/nafta/team-single.html	webdesign-finder.com/html/nafta/team-single.html	(from http://webdesign-finder.com/html/nafta/)
14:30:19	38920/38920	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:48%20GMT	http://webdesign-finder.com/html/nafta/faq.html	webdesign-finder.com/html/nafta/faq.html	(from http://webdesign-finder.com/html/nafta/)
14:30:20	42891/42891	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:49%20GMT	http://webdesign-finder.com/html/nafta/faq2.html	webdesign-finder.com/html/nafta/faq2.html	(from http://webdesign-finder.com/html/nafta/)
14:30:21	25770/25770	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:48%20GMT	http://webdesign-finder.com/html/nafta/404.html	webdesign-finder.com/html/nafta/404.html	(from http://webdesign-finder.com/html/nafta/)
14:30:22	33620/33620	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:49%20GMT	http://webdesign-finder.com/html/nafta/header1.html	webdesign-finder.com/html/nafta/header1.html	(from http://webdesign-finder.com/html/nafta/)
14:30:23	31620/31620	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:49%20GMT	http://webdesign-finder.com/html/nafta/header2.html	webdesign-finder.com/html/nafta/header2.html	(from http://webdesign-finder.com/html/nafta/)
14:30:24	29511/29511	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:49%20GMT	http://webdesign-finder.com/html/nafta/header3.html	webdesign-finder.com/html/nafta/header3.html	(from http://webdesign-finder.com/html/nafta/)
14:30:25	30969/30969	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:49%20GMT	http://webdesign-finder.com/html/nafta/header4.html	webdesign-finder.com/html/nafta/header4.html	(from http://webdesign-finder.com/html/nafta/)
14:30:26	32235/32235	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:49%20GMT	http://webdesign-finder.com/html/nafta/header5.html	webdesign-finder.com/html/nafta/header5.html	(from http://webdesign-finder.com/html/nafta/)
14:30:27	31287/31287	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:49%20GMT	http://webdesign-finder.com/html/nafta/header6.html	webdesign-finder.com/html/nafta/header6.html	(from http://webdesign-finder.com/html/nafta/)
14:30:28	30920/30920	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:49%20GMT	http://webdesign-finder.com/html/nafta/header-side.html	webdesign-finder.com/html/nafta/header-side.html	(from http://webdesign-finder.com/html/nafta/)
14:30:29	30953/30953	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:49%20GMT	http://webdesign-finder.com/html/nafta/header-side-right.html	webdesign-finder.com/html/nafta/header-side-right.html	(from http://webdesign-finder.com/html/nafta/)
14:30:30	30945/30945	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:49%20GMT	http://webdesign-finder.com/html/nafta/header-side-slide.html	webdesign-finder.com/html/nafta/header-side-slide.html	(from http://webdesign-finder.com/html/nafta/)
